round,region,country,year,status,reports,datasets,filename,url
MICS5,Eastern and Southern Africa,Kenya (Turkana County),2013-2014,Completed,"Final,Key findings",Available,Kenya (Turkana County) 2013-14 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Eastern%20and%20Southern%20Africa/Kenya%20%28Turkana%20County%29/2013-2014/Datasets/Kenya%20%28Turkana%20County%29%202013-14%20MICS_Datasets.zip
MICS5,Europe and Central Asia,Kosovo under UNSC res. 1244,2013-2014,Completed,"Final,Key findings,Summary",Available,Kosovo (UNSCR 1244) 2013-14 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Kosovo%20under%20UNSC%20res.%201244/2013-2014/Datasets/Kosovo%20%28UNSCR%201244%29%202013-14%20MICS_Datasets.zip
MICS5,Europe and Central Asia,"Kosovo under UNSC res. 1244 (Roma, Ashkali, and Egyptian Communities)",2013-2014,Completed,"Final,Key findings,Summary",Available,"Kosovo (UNSCR 1244) (Roma, Ashkali, and Egyptian Communities) 2013-14 MICS_Datasets.zip",https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Kosovo%20under%20UNSC%20res.%201244%20%28Roma%2C%20Ashkali%2C%20and%20Egyptian%20Communities%29/2013-2014/Datasets/Kosovo%20%28UNSCR%201244%29%20%28Roma%2C%20Ashkali%2C%20and%20Egyptian%20Communities%29%202013-14%20MICS_Datasets.zip
MICS5,Eastern and Southern Africa,Malawi,2013-2014,Completed,"Final,Key findings",Available,Malawi 2013-14 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Eastern%20and%20Southern%20Africa/Malawi/2013-2014/Datasets/Malawi%202013-14%20MICS_Datasets.zip
MICS5,East Asia and the Pacific,Mongolia,2013-2014,Completed,"Final,Key findings",Available,Mongolia_MICS5_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/East%20Asia%20and%20the%20Pacific/Mongolia/2013-2014/Datasets/Mongolia_MICS5_Datasets.zip
MICS5,East Asia and the Pacific,Viet Nam,2013-2014,Completed,"Final,Key findings",Available,Viet Nam 2013-14 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2013-2014/Datasets/Viet%20Nam%202013-14%20MICS_Datasets.zip
MICS5,Europe and Central Asia,Montenegro,2013,Completed,"Final,Key findings",Available,Montenegro 2013 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Montenegro/2013/Datasets/Montenegro%202013%20MICS_Datasets.zip
MICS5,Europe and Central Asia,Montenegro (Roma Settlements),2013,Completed,"Final,Key findings",Available,Montenegro (Roma Settlements) 2013 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Europe%20and%20Central%20Asia/Montenegro%20%28Roma%20Settlements%29/2013/Datasets/Montenegro%20%28Roma%20Settlements%29%202013%20MICS_Datasets.zip
MICS5,Latin America and Caribbean,Panama,2013,Completed,Key findings,Available,Panama 2013 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/Latin%20America%20and%20Caribbean/Panama/2013/Datasets/Panama%202013%20MICS_Datasets.zip
MICS4,Middle East and North Africa,Algeria,2012-2013,Completed,Final,Available,Algeria_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Middle%20East%20and%20North%20Africa/Algeria/2012-2013/Datasets/Algeria_MICS4_Datasets.zip
MICS5,South Asia,Bangladesh,2012-2013,Completed,"Final,Key findings",Available,Bangladesh 2012-13 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS5/South%20Asia/Bangladesh/2012-2013/Datasets/Bangladesh%202012-13%20MICS_Datasets.zip
MICS4,East Asia and the Pacific,Thailand,2012-2013,Completed,"Final,Summary",Available,Thailand_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Thailand/2012-2013/Datasets/Thailand_MICS4_Datasets.zip
MICS4,Latin America and Caribbean,Uruguay,2012-2013,Completed,"Final,Key findings",Available,Uruguay 2012-13_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Uruguay/2012-2013/Datasets/Uruguay%202012-13_Datasets.zip
MICS4,Latin America and Caribbean,Barbados,2012,Completed,Final,Available,Barbados 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Barbados/2012/Datasets/Barbados%202012%20MICS_Datasets.zip
MICS4,Europe and Central Asia,Belarus,2012,Completed,Final,Available,Belarus 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Belarus/2012/Datasets/Belarus%202012%20MICS_Datasets.zip
MICS4,Eastern and Southern Africa,Madagascar (South),2012,Completed,Final,Available,Madagascar (South) 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Eastern%20and%20Southern%20Africa/Madagascar%20%28South%29/2012/Datasets/Madagascar%20%28South%29%202012%20MICS_Datasets.zip
MICS4,Europe and Central Asia,"Moldova, Republic of",2012,Completed,"Final,Summary",Available,Moldova 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Moldova%2C%20Republic%20of/2012/Datasets/Moldova%202012%20MICS_Datasets.zip
MICS4,East Asia and the Pacific,Mongolia (Khuvsgul Aimag),2012,Completed,Final,Available,Mongolia (Khuvsgul Aimag) 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Mongolia%20%28Khuvsgul%20Aimag%29/2012/Datasets/Mongolia%20%28Khuvsgul%20Aimag%29%202012%20MICS_Datasets.zip
MICS4,East Asia and the Pacific,Mongolia (Nalaikh District),2012,Completed,Final,Available,Mongolia (Nalaikh District)_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Mongolia%20%28Nalaikh%20District%29/2012/Datasets/Mongolia%20%28Nalaikh%20District%29_MICS4_Datasets.zip
MICS4,Middle East and North Africa,Qatar,2012,Completed,Final,Available,Qatar_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Middle%20East%20and%20North%20Africa/Qatar/2012/Datasets/Qatar_MICS4_Datasets.zip
MICS4,Latin America and Caribbean,Saint Lucia,2012,Completed,Final,Available,Saint Lucia 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Saint%20Lucia/2012/Datasets/Saint%20Lucia%202012%20MICS_Datasets.zip
MICS4,Europe and Central Asia,Ukraine,2012,Completed,"Final,Key findings",Available,Ukraine 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Ukraine/2012/Datasets/Ukraine%202012%20MICS_Datasets.zip
MICS4,Latin America and Caribbean,Argentina,2011-2012,Completed,Final,Available,Argentina 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Argentina/2011-2012/Datasets/Argentina%202012%20MICS_Datasets.zip
MICS4,Europe and Central Asia,Bosnia and Herzegovina,2011-2012,Completed,Final,Available,Bosnia and Herzegovina 2012 MICS _Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Bosnia%20and%20Herzegovina/2011-2012/Datasets/Bosnia%20and%20Herzegovina%202012%20MICS%20_Datasets.zip
MICS4,Europe and Central Asia,Bosnia and Herzegovina (Roma Settlements),2011-2012,Completed,Final,Available,Bosnia and Herzegovina (Roma Settlements) 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Bosnia%20and%20Herzegovina%20%28Roma%20Settlements%29/2011-2012/Datasets/Bosnia%20and%20Herzegovina%20%28Roma%20Settlements%29%202012%20MICS_Datasets.zip
MICS4,East Asia and the Pacific,Lao People's Democratic Republic,2011-2012,Completed,Final,Available,Lao 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2011-2012/Datasets/Lao%202012%20MICS_Datasets.zip
MICS4,Middle East and North Africa,Tunisia,2011-2012,Completed,"Final,Summary",Available,Tunisia 2012 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Middle%20East%20and%20North%20Africa/Tunisia/2011-2012/Datasets/Tunisia%202012%20MICS_Datasets.zip
MICS4,Latin America and Caribbean,Belize,2011,Completed,Final,Available,Belize 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Belize/2011/Datasets/Belize%202011%20MICS_Datasets.zip
MICS4,Latin America and Caribbean,Costa Rica,2011,Completed,Final,Available,Costa Rica 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Costa%20Rica/2011/Datasets/Costa%20Rica%202011%20MICS_Datasets.zip
MICS4,West and Central Africa,Ghana,2011,Completed,"Final,Summary",Available,Ghana 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Ghana/2011/Datasets/Ghana%202011%20MICS_Datasets.zip
MICS4,East Asia and the Pacific,Indonesia (Papua Selected Districts),2011,Completed,Final,Available,Indonesia (Selected Districts of Papua) 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Indonesia%20%28Papua%20Selected%20Districts%29/2011/Datasets/Indonesia%20%28Selected%20Districts%20of%20Papua%29%202011%20MICS_Datasets.zip
MICS4,East Asia and the Pacific,Indonesia (West Papua Selected Districts),2011,Completed,Final,Available,Indonesia (Selected Districts of West Papua) 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Indonesia%20%28West%20Papua%20Selected%20Districts%29/2011/Datasets/Indonesia%20%28Selected%20Districts%20of%20West%20Papua%29%202011%20MICS_Datasets.zip
MICS4,Middle East and North Africa,Iraq,2011,Completed,Final,Available,Iraq 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Middle%20East%20and%20North%20Africa/Iraq/2011/Datasets/Iraq%202011%20MICS_Datasets.zip
MICS4,Latin America and Caribbean,Jamaica,2011,Completed,Final,Available,Jamaica 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Jamaica/2011/Datasets/Jamaica%202011%20MICS_Datasets.zip
MICS4,Eastern and Southern Africa,Kenya (Nyanza Province),2011,Completed,Final,Available,Kenya (Nyanza Province)_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Eastern%20and%20Southern%20Africa/Kenya%20%28Nyanza%20Province%29/2011/Datasets/Kenya%20%28Nyanza%20Province%29_MICS4_Datasets.zip
MICS4,Middle East and North Africa,Lebanon (Palestinians),2011,Completed,"Final,Preliminary",Available,Lebanon (Palestinians) 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Middle%20East%20and%20North%20Africa/Lebanon%20%28Palestinians%29/2011/Datasets/Lebanon%20%28Palestinians%29%202011%20MICS_Datasets.zip
MICS4,West and Central Africa,Mauritania,2011,Completed,"Final,Summary",Available,Mauritania_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Mauritania/2011/Datasets/Mauritania_MICS4_Datasets.zip
MICS4,West and Central Africa,Nigeria,2011,Completed,"Final,Summary",Available,Nigeria 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Nigeria/2011/Datasets/Nigeria%202011%20MICS_Datasets.zip
MICS4,Europe and Central Asia,"North Macedonia, Republic of",2011,Completed,Final,Available,Macedonia 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of/2011/Datasets/Macedonia%202011%20MICS_Datasets.zip
MICS4,Europe and Central Asia,"North Macedonia, Republic of (Roma Settlements)",2011,Completed,Final,Available,Macedonia (Roma Settlements) 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/North%20Macedonia%2C%20Republic%20of%20%28Roma%20Settlements%29/2011/Datasets/Macedonia%20%28Roma%20Settlements%29%202011%20MICS_Datasets.zip
MICS4,South Asia,Pakistan (Punjab),2011,Completed,Final,Available,Pakistan (Punjab) 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/South%20Asia/Pakistan%20%28Punjab%29/2011/Datasets/Pakistan%20%28Punjab%29%202011%20MICS_Datasets.zip
MICS4,Eastern and Southern Africa,Somalia (Northeast Zone),2011,Completed,Final,Available,Somalia (Northeast Zone) 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Eastern%20and%20Southern%20Africa/Somalia%20%28Northeast%20Zone%29/2011/Datasets/Somalia%20%28Northeast%20Zone%29%202011%20MICS_Datasets.zip
MICS4,Eastern and Southern Africa,Somalia (Somaliland),2011,Completed,Final,Available,Somalia (Somaliland) 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Eastern%20and%20Southern%20Africa/Somalia%20%28Somaliland%29/2011/Datasets/Somalia%20%28Somaliland%29%202011%20MICS_Datasets.zip
MICS4,Latin America and Caribbean,Trinidad and Tobago,2011,Completed,Final,Available,Trinidad and Tobago_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Trinidad%20and%20Tobago/2011/Datasets/Trinidad%20and%20Tobago_MICS4_Datasets.zip
MICS4,South Asia,Afghanistan,2010-2011,Completed,Final,Available,Afghanistan 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/South%20Asia/Afghanistan/2010-2011/Datasets/Afghanistan%202011%20MICS_Datasets.zip
MICS4,Latin America and Caribbean,Cuba,2010-2011,Completed,Final,Available,Cuba 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Cuba/2010-2011/Datasets/Cuba%202011%20MICS_Datasets.zip
MICS4,West and Central Africa,Ghana (Accra),2010-2011,Completed,Final,Available,Ghana (Accra) 2010-11 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Ghana%20%28Accra%29/2010-2011/Datasets/Ghana%20%28Accra%29%202010-11%20MICS_Datasets.zip
MICS4,Europe and Central Asia,Kazakhstan,2010-2011,Completed,Final,Available,Kazakhstan 2010-11 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Kazakhstan/2010-2011/Datasets/Kazakhstan%202010-11%20MICS_Datasets.zip
MICS4,East Asia and the Pacific,Viet Nam,2010-2011,Completed,Final,Available,Viet Nam 2011 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2010-2011/Datasets/Viet%20Nam%202011%20MICS_Datasets.zip
MICS4,South Asia,Bhutan,2010,Completed,Final,Available,Bhutan 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/South%20Asia/Bhutan/2010/Datasets/Bhutan%202010%20MICS_Datasets.zip
MICS4,West and Central Africa,Central African Republic,2010,Completed,"Biomarker,Final,Summary",Available,Central African Republic 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Central%20African%20Republic/2010/Datasets/Central%20African%20Republic%202010%20MICS_Datasets.zip
MICS4,West and Central Africa,Chad,2010,Completed,"Final,Summary",Available,Chad 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Chad/2010/Datasets/Chad%202010%20MICS_Datasets.zip
MICS4,West and Central Africa,"Congo, Democratic Republic of the",2010,Completed,"Final,Summary",Available,Congo DR 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Congo%2C%20Democratic%20Republic%20of%20the/2010/Datasets/Congo%20DR%202010%20MICS_Datasets.zip
MICS4,Eastern and Southern Africa,Eswatini,2010,Completed,Final,Available,Swaziland 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Eastern%20and%20Southern%20Africa/Eswatini/2010/Datasets/Swaziland%202010%20MICS_Datasets.zip
MICS4,West and Central Africa,Gambia,2010,Completed,Final,Available,The Gambia_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Gambia/2010/Datasets/The%20Gambia_MICS4_Datasets.zip
MICS4,West and Central Africa,Guinea-Bissau,2010,Completed,Final,Available,Guinea Bissau_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Guinea-Bissau/2010/Datasets/Guinea%20Bissau_MICS4_Datasets.zip
MICS4,East Asia and the Pacific,Mongolia,2010,Completed,Final,Available,Mongolia 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/East%20Asia%20and%20the%20Pacific/Mongolia/2010/Datasets/Mongolia%202010%20MICS_Datasets.zip
MICS4,South Asia,Nepal (Mid- and Far-Western Regions),2010,Completed,Final,Available,Nepal (Mid and Far Western Regions) 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/South%20Asia/Nepal%20%28Mid-%20and%20Far-Western%20Regions%29/2010/Datasets/Nepal%20%28Mid%20and%20Far%20Western%20Regions%29%202010%20MICS_Datasets.zip
MICS4,South Asia,Pakistan (Balochistan),2010,Completed,Final,Available,Pakistan (Balochistan) 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/South%20Asia/Pakistan%20%28Balochistan%29/2010/Datasets/Pakistan%20%28Balochistan%29%202010%20MICS_Datasets.zip
MICS4,Europe and Central Asia,Serbia,2010,Completed,Final,Available,Serbia 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Serbia/2010/Datasets/Serbia%202010%20MICS_Datasets.zip
MICS4,Europe and Central Asia,Serbia (Roma Settlements),2010,Completed,Final,Available,Serbia (Roma Settlements) 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Europe%20and%20Central%20Asia/Serbia%20%28Roma%20Settlements%29/2010/Datasets/Serbia%20%28Roma%20Settlements%29%202010%20MICS_Datasets.zip
MICS4,West and Central Africa,Sierra Leone,2010,Completed,Final,Available,Sierra Leone 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Sierra%20Leone/2010/Datasets/Sierra%20Leone%202010%20MICS_Datasets.zip
MICS4,Eastern and Southern Africa,"South Sudan, Republic of",2010,Completed,Final,Available,South Sudan 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Eastern%20and%20Southern%20Africa/South%20Sudan%2C%20Republic%20of/2010/Datasets/South%20Sudan%202010%20MICS_Datasets.zip
MICS4,Middle East and North Africa,State of Palestine,2010,Completed,Final,Available,State of Palestine 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Middle%20East%20and%20North%20Africa/State%20of%20Palestine/2010/Datasets/State%20of%20Palestine%202010%20MICS_Datasets.zip
MICS4,Middle East and North Africa,Sudan,2010,Completed,"Final,Summary",Available,Sudan_2010_MICS4_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Middle%20East%20and%20North%20Africa/Sudan/2010/Datasets/Sudan_2010_MICS4_Datasets.zip
MICS4,Latin America and Caribbean,Suriname,2010,Completed,Final,Available,Suriname 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Latin%20America%20and%20Caribbean/Suriname/2010/Datasets/Suriname%202010%20MICS_Datasets.zip
MICS4,West and Central Africa,Togo,2010,Completed,Final,Available,Togo 2010 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Togo/2010/Datasets/Togo%202010%20MICS_Datasets.zip
MICS4,West and Central Africa,Mali,2009-2010,Completed,Final,Available,Mali 2009-10 MICS4 Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/West%20and%20Central%20Africa/Mali/2009-2010/Datasets/Mali%202009-10%20MICS4%20Datasets.zip
MICS3,East Asia and the Pacific,"Myanmar, Republic of the Union of",2009-2010,Completed,Final,Not available,,
MICS4,Eastern and Southern Africa,Kenya (Mombasa Informal Settlements),2009,Completed,Final,Available,Kenya (Mombasa Informal Settlements) 2009 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS4/Eastern%20and%20Southern%20Africa/Kenya%20%28Mombasa%20Informal%20Settlements%29/2009/Datasets/Kenya%20%28Mombasa%20Informal%20Settlements%29%202009%20MICS_Datasets.zip
MICS4,East Asia and the Pacific,"Korea, Democratic People's Republic of",2009,Completed,Final,Restricted,,
MICS3,Eastern and Southern Africa,Zimbabwe,2009,Completed,Final,Available,Zimbabwe 2009 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Zimbabwe/2009/Datasets/Zimbabwe%202009%20MICS_Datasets.zip
MICS3,Eastern and Southern Africa,Kenya (Eastern Province),2008,Completed,Final,Not available,,
MICS3,Eastern and Southern Africa,Mozambique,2008,Completed,Final,Available,Mozambique 2008 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Mozambique/2008/Datasets/Mozambique%202008%20MICS_Datasets.zip
MICS3,West and Central Africa,Ghana (District),2007-2008,Completed,Final,Not available,,
MICS3,East Asia and the Pacific,Vanuatu,2007-2008,Completed,Final,Available,Vanuatu 2007 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Vanuatu/2007-2008/Datasets/Vanuatu%202007%20MICS_Datasets.zip
MICS3,West and Central Africa,Mauritania,2007,Completed,Final,Available,Mauritania 2007 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Mauritania/2007/Datasets/Mauritania%202007%20MICS_Datasets.zip
MICS3,West and Central Africa,Nigeria,2007,Completed,Final,Available,Nigeria 2007 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Nigeria/2007/Datasets/Nigeria%202007%20MICS_Datasets.zip
MICS3,Latin America and Caribbean,Guyana,2006-2007,Completed,Final,Available,Guyana 2006-07 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Guyana/2006-2007/Datasets/Guyana%202006-07%20MICS_Datasets.zip
MICS3,Middle East and North Africa,Algeria,2006,Completed,Final,Not available,,
MICS3,South Asia,Bangladesh,2006,Completed,Final,Available,Bangladesh 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/South%20Asia/Bangladesh/2006/Datasets/Bangladesh%202006%20MICS_Datasets.zip
MICS3,Latin America and Caribbean,Belize,2006,Completed,Final,Available,Belize 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Belize/2006/Datasets/Belize%202006%20MICS_Datasets.zip
MICS3,Europe and Central Asia,Bosnia and Herzegovina,2006,Completed,Final,Available,Bosnia and Herzegovina 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Bosnia%20and%20Herzegovina/2006/Datasets/Bosnia%20and%20Herzegovina%202006%20MICS_Datasets.zip
MICS3,West and Central Africa,Burkina Faso,2006,Completed,Final,Available,Burkina Faso 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Burkina%20Faso/2006/Datasets/Burkina%20Faso%202006%20MICS_Datasets.zip
MICS3,West and Central Africa,Cameroon,2006,Completed,Final,Available,Cameroon 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Cameroon/2006/Datasets/Cameroon%202006%20MICS_Datasets.zip
MICS3,West and Central Africa,Central African Republic,2006,Completed,Final,Available,Central African Republic 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Central%20African%20Republic/2006/Datasets/Central%20African%20Republic%202006%20MICS_Datasets.zip
MICS3,Latin America and Caribbean,Cuba,2006,Completed,Final,Available,Cuba 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Latin%20America%20and%20Caribbean/Cuba/2006/Datasets/Cuba%202006%20MICS_Datasets.zip
MICS3,West and Central Africa,Cﾃｴte d'Ivoire,2006,Completed,Final,Available,Cote d'Ivoire 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/C%C3%B4te%20d%27Ivoire/2006/Datasets/Cote%20d%27Ivoire%202006%20MICS_Datasets.zip
MICS3,Middle East and North Africa,Djibouti,2006,Completed,Final,Available,Djibouti 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Djibouti/2006/Datasets/Djibouti%202006%20MICS_Datasets.zip
MICS3,West and Central Africa,Ghana,2006,Completed,Final,Available,Ghana 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Ghana/2006/Datasets/Ghana%202006%20MICS_Datasets.zip
MICS3,West and Central Africa,Guinea-Bissau,2006,Completed,Final,Available,Guinea-Bissau 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/West%20and%20Central%20Africa/Guinea-Bissau/2006/Datasets/Guinea-Bissau%202006%20MICS_Datasets.zip
MICS3,Middle East and North Africa,Iraq,2006,Completed,Final,Available,Iraq 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Middle%20East%20and%20North%20Africa/Iraq/2006/Datasets/Iraq%202006%20MICS_Datasets.zip
MICS3,Europe and Central Asia,Kazakhstan,2006,Completed,Final,Available,Kazakhstan 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Kazakhstan/2006/Datasets/Kazakhstan%202006%20MICS_Datasets.zip
MICS3,East Asia and the Pacific,Lao People's Democratic Republic,2006,Completed,Final,Available,Lao PDR 2006 MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2006/Datasets/Lao%20PDR%202006%20MICS_Datasets.zip
